Node_Type,X,Y,Color,Element_Type,Element_ID,Details
class,1629.5,2276.0,#6C1B1C,ellipse,1,"Type: ellipse, Transform: rotate(180 1629.5 2276)"
class,1687.5,2324.0,#6C1B1C,path,2,"Type: path, Coord_Count: 13"
class,1591.5,2376.0,#6C1B1C,path,5,"Type: path, Coord_Count: 13"
class,2740.5,667.0,#6C1B1C,ellipse,8,"Type: ellipse, Transform: rotate(180 2740.5 667)"
class,2791.5,665.0,#6C1B1C,ellipse,9,"Type: ellipse, Transform: rotate(180 2791.5 665)"
class,3326.5,667.0,#6C1B1C,ellipse,10,"Type: ellipse, Transform: rotate(180 3326.5 667)"
class,1591.5,2323.0,#6C1B1C,ellipse,11,"Type: ellipse, Transform: rotate(180 1591.5 2323)"
class,1950.5,1751.0,#6C1B1C,ellipse,12,"Type: ellipse, Transform: rotate(180 1950.5 1751)"
class,1685.5,1751.0,#6C1B1C,ellipse,13,"Type: ellipse, Transform: rotate(180 1685.5 1751)"
class,1629.5,1752.0,#6C1B1C,ellipse,14,"Type: ellipse, Transform: rotate(180 1629.5 1752)"
class,1628.5,1799.0,#6C1B1C,ellipse,16,"Type: ellipse, Transform: rotate(180 1628.5 1799)"
class,2028.5,2295.0,#6C1B1C,ellipse,17,"Type: ellipse, Transform: rotate(180 2028.5 2295)"
class,2080.5,2246.0,#6C1B1C,ellipse,18,"Type: ellipse, Transform: rotate(180 2080.5 2246)"
class,2623.5,1718.0,#6C1B1C,ellipse,19,"Type: ellipse, Transform: rotate(180 2623.5 1718)"
class,2868.5,1159.0,#6C1B1C,ellipse,20,"Type: ellipse, Transform: rotate(180 2868.5 1159)"
class,2745.5,1039.0,#6C1B1C,ellipse,21,"Type: ellipse, Transform: rotate(180 2745.5 1039)"
class,2739.5,809.0,#6C1B1C,ellipse,22,"Type: ellipse, Transform: rotate(180 2739.5 809)"
class,2739.5,760.0,#6C1B1C,ellipse,23,"Type: ellipse, Transform: rotate(180 2739.5 760)"
class,3328.5,892.0,#6C1B1C,ellipse,24,"Type: ellipse, Transform: rotate(180 3328.5 892)"
class,3321.5,1036.0,#6C1B1C,ellipse,25,"Type: ellipse, Transform: rotate(180 3321.5 1036)"
class,3254.5,1101.0,#6C1B1C,ellipse,26,"Type: ellipse, Transform: rotate(180 3254.5 1101)"
intersection,3328.5,718.0,#3500C6,path,3,"Type: path, Coord_Count: 13"
intersection,1629.5,2323.0,#3500C6,path,4,"Type: path, Coord_Count: 13"
intersection,2290.5,2034.0,#3500C6,path,27,"Type: path, Coord_Count: 13"
intersection,3029.5,1319.0,#3500C6,path,28,"Type: path, Coord_Count: 13"
stairway,3406.5,718.0,#FFAE00,ellipse,6,"Type: ellipse, Transform: rotate(180 3406.5 718)"
stairway,1629.5,2374.0,#FFAE00,ellipse,7,"Type: ellipse, Transform: rotate(180 1629.5 2374)"
stairway,3029.5,1472.0,#FFAE00,ellipse,29,"Type: ellipse, Transform: rotate(180 3029.5 1472)"
stairway,2393.5,1937.0,#FFAE00,ellipse,30,"Type: ellipse, Transform: rotate(180 2393.5 1937)"
invisible,1999.0,1751.5,#33CA60,path,15,"Type: path, Coord_Count: 13"
invisible,1996.0,2326.5,#33CA60,path,31,"Type: path, Coord_Count: 13"
